"","Nyckeltal","Kommun.Landsting","År","Visat.Värde"
"35","Invånare 65+ i särskilda boendeformer, andel (%)","Arvika",2010,"5.834602"
"36","Invånare 65+ i särskilda boendeformer, andel (%)","Arvika",2011,"6.027488"
"37","Invånare 65+ i särskilda boendeformer, andel (%)","Askersund",2008,"6.482213"
"38","Invånare 65+ i särskilda boendeformer, andel (%)","Askersund",2009,"6.130124"
"39","Invånare 65+ i särskilda boendeformer, andel (%)","Askersund",2010,"4.128939"
"40","Invånare 65+ i särskilda boendeformer, andel (%)","Askersund",2011,"3.71031"
"41","Invånare 65+ i särskilda boendeformer, andel (%)","Avesta",2008,"7.147362"
"42","Invånare 65+ i särskilda boendeformer, andel (%)","Avesta",2009,"6.844337"
"43","Invånare 65+ i särskilda boendeformer, andel (%)","Avesta",2010,"4.458599"
"44","Invånare 65+ i särskilda boendeformer, andel (%)","Avesta",2011,"4.325799"
"45","Invånare 65+ i särskilda boendeformer, andel (%)","Bengtsfors",2008,"6.481481"
"46","Invånare 65+ i särskilda boendeformer, andel (%)","Bengtsfors",2009,"5.926511"
"47","Invånare 65+ i särskilda boendeformer, andel (%)","Bengtsfors",2010,"5.666276"
"48","Invånare 65+ i särskilda boendeformer, andel (%)","Bengtsfors",2011,"5.483625"
"49","Invånare 65+ i särskilda boendeformer, andel (%)","Berg",2008,"6.692057"
"50","Invånare 65+ i särskilda boendeformer, andel (%)","Berg",2009,"7.294995"
"51","Invånare 65+ i särskilda boendeformer, andel (%)","Berg",2010,"6.635071"
"52","Invånare 65+ i särskilda boendeformer, andel (%)","Berg",2011,"6.237006"
"53","Invånare 65+ i särskilda boendeformer, andel (%)","Bjurholm",2008,"6.566347"
"54","Invånare 65+ i särskilda boendeformer, andel (%)","Bjurholm",2009,"7.862069"
"55","Invånare 65+ i särskilda boendeformer, andel (%)","Bjurholm",2010,"6.915629"
"56","Invånare 65+ i särskilda boendeformer, andel (%)","Bjurholm",2011,"7.744565"
"57","Invånare 65+ i särskilda boendeformer, andel (%)","Bjuv",2008,"5.60472"
"58","Invånare 65+ i särskilda boendeformer, andel (%)","Bjuv",2009,"5.791353"
"59","Invånare 65+ i särskilda boendeformer, andel (%)","Bjuv",2010,"5.075552"
"60","Invånare 65+ i särskilda boendeformer, andel (%)","Bjuv",2011,"5.271141"
"61","Invånare 65+ i särskilda boendeformer, andel (%)","Boden",2008,"6.372275"
"62","Invånare 65+ i särskilda boendeformer, andel (%)","Boden",2009,"6.096048"
"63","Invånare 65+ i särskilda boendeformer, andel (%)","Boden",2010,"5.915833"
"64","Invånare 65+ i särskilda boendeformer, andel (%)","Boden",2011,"5.769551"
"65","Invånare 65+ i särskilda boendeformer, andel (%)","Bollebygd",2008,"5.375494"
"66","Invånare 65+ i särskilda boendeformer, andel (%)","Bollebygd",2009,"4.548736"
"67","Invånare 65+ i särskilda boendeformer, andel (%)","Bollebygd",2010,"4.718945"
"68","Invånare 65+ i särskilda boendeformer, andel (%)","Bollebygd",2011,"4.524285"
"69","Invånare 65+ i särskilda boendeformer, andel (%)","Bollnäs",2008,"5.07623"
"70","Invånare 65+ i särskilda boendeformer, andel (%)","Bollnäs",2009,"4.683104"
"71","Invånare 65+ i särskilda boendeformer, andel (%)","Bollnäs",2010,"4.636084"
"72","Invånare 65+ i särskilda boendeformer, andel (%)","Bollnäs",2011,"4.396305"
"73","Invånare 65+ i särskilda boendeformer, andel (%)","Borgholm",2008,"4.567308"
"74","Invånare 65+ i särskilda boendeformer, andel (%)","Borgholm",2009,"4.373757"
"75","Invånare 65+ i särskilda boendeformer, andel (%)","Borgholm",2010,"3.877221"
"76","Invånare 65+ i särskilda boendeformer, andel (%)","Borgholm",2011,"3.71875"
"77","Invånare 65+ i särskilda boendeformer, andel (%)","Borlänge",2008,"4.523387"
"78","Invånare 65+ i särskilda boendeformer, andel (%)","Borlänge",2009,"4.418262"
"79","Invånare 65+ i särskilda boendeformer, andel (%)","Borlänge",2010,"3.779006"
"80","Invånare 65+ i särskilda boendeformer, andel (%)","Borlänge",2011,"3.689404"
"81","Invånare 65+ i särskilda boendeformer, andel (%)","Borås",2008,"4.902878"
"82","Invånare 65+ i särskilda boendeformer, andel (%)","Borås",2009,"4.696704"
"83","Invånare 65+ i särskilda boendeformer, andel (%)","Borås",2010,"4.593326"
"84","Invånare 65+ i särskilda boendeformer, andel (%)","Borås",2011,"4.383716"
"85","Invånare 65+ i särskilda boendeformer, andel (%)","Botkyrka",2008,"4.40471"
"86","Invånare 65+ i särskilda boendeformer, andel (%)","Botkyrka",2009,"4.534653"
"87","Invånare 65+ i särskilda boendeformer, andel (%)","Botkyrka",2010,"3.537068"
"88","Invånare 65+ i särskilda boendeformer, andel (%)","Botkyrka",2011,"4.329318"
"89","Invånare 65+ i särskilda boendeformer, andel (%)","Boxholm",2008,"4.907407"
"90","Invånare 65+ i särskilda boendeformer, andel (%)","Boxholm",2009,"4.469763"
"91","Invånare 65+ i särskilda boendeformer, andel (%)","Boxholm",2010,"4.258944"
"92","Invånare 65+ i särskilda boendeformer, andel (%)","Boxholm",2011,"4.149026"
"93","Invånare 65+ i särskilda boendeformer, andel (%)","Bromölla",2008,"4.783137"
"94","Invånare 65+ i särskilda boendeformer, andel (%)","Bromölla",2009,"4.802479"
"95","Invånare 65+ i särskilda boendeformer, andel (%)","Bromölla",2010,"4.397271"
"96","Invånare 65+ i särskilda boendeformer, andel (%)","Bromölla",2011,"4.114622"
"97","Invånare 65+ i särskilda boendeformer, andel (%)","Bräcke",2008,"6.972477"
"98","Invånare 65+ i särskilda boendeformer, andel (%)","Bräcke",2009,"6.765579"
"99","Invånare 65+ i särskilda boendeformer, andel (%)","Bräcke",2010,"6.662804"
"100","Invånare 65+ i särskilda boendeformer, andel (%)","Bräcke",2011,"6.41099"
"101","Invånare 65+ i särskilda boendeformer, andel (%)","Burlöv",2008,"4.458841"
"102","Invånare 65+ i särskilda boendeformer, andel (%)","Burlöv",2009,"4.804589"
"103","Invånare 65+ i särskilda boendeformer, andel (%)","Burlöv",2010,"4.561404"
"104","Invånare 65+ i särskilda boendeformer, andel (%)","Burlöv",2011,"4.31093"
"105","Invånare 65+ i särskilda boendeformer, andel (%)","Båstad",2008,"3.267793"
"106","Invånare 65+ i särskilda boendeformer, andel (%)","Båstad",2009,"4.390116"
"107","Invånare 65+ i särskilda boendeformer, andel (%)","Båstad",2010,"4.355624"
"108","Invånare 65+ i särskilda boendeformer, andel (%)","Båstad",2011,"4.400796"
"109","Invånare 65+ i särskilda boendeformer, andel (%)","Dals-Ed",2008,"6.181456"
"110","Invånare 65+ i särskilda boendeformer, andel (%)","Dals-Ed",2009,"5.198488"
"111","Invånare 65+ i särskilda boendeformer, andel (%)","Dals-Ed",2010,"4.070305"
"112","Invånare 65+ i särskilda boendeformer, andel (%)","Dals-Ed",2011,"4.003559"
"113","Invånare 65+ i särskilda boendeformer, andel (%)","Danderyd",2008,"5.126379"
"114","Invånare 65+ i särskilda boendeformer, andel (%)","Danderyd",2009,"5.154639"
"115","Invånare 65+ i särskilda boendeformer, andel (%)","Danderyd",2010,"4.943968"
"116","Invånare 65+ i särskilda boendeformer, andel (%)","Danderyd",2011,"4.818503"
"117","Invånare 65+ i särskilda boendeformer, andel (%)","Degerfors",2008,"6.82243"
"118","Invånare 65+ i särskilda boendeformer, andel (%)","Degerfors",2009,"5.929204"
"119","Invånare 65+ i särskilda boendeformer, andel (%)","Degerfors",2010,"5.242634"
"120","Invånare 65+ i särskilda boendeformer, andel (%)","Degerfors",2011,"5.882353"
"121","Invånare 65+ i särskilda boendeformer, andel (%)","Dorotea",2008,"8.518086"
"122","Invånare 65+ i särskilda boendeformer, andel (%)","Dorotea",2009,"7.83848"
"123","Invånare 65+ i särskilda boendeformer, andel (%)","Dorotea",2010,"7.683215"
"124","Invånare 65+ i särskilda boendeformer, andel (%)","Dorotea",2011,"6.753555"
"125","Invånare 65+ i särskilda boendeformer, andel (%)","Eda",2008,"4.83871"
"126","Invånare 65+ i särskilda boendeformer, andel (%)","Eda",2009,"4.728012"
"127","Invånare 65+ i särskilda boendeformer, andel (%)","Eda",2010,"4.343485"
"128","Invånare 65+ i särskilda boendeformer, andel (%)","Eda",2011,"4.094721"
"129","Invånare 65+ i särskilda boendeformer, andel (%)","Ekerö",2008,"4.928458"
"130","Invånare 65+ i särskilda boendeformer, andel (%)","Ekerö",2009,"4.385718"
"131","Invånare 65+ i särskilda boendeformer, andel (%)","Ekerö",2010,"4.601957"
"132","Invånare 65+ i särskilda boendeformer, andel (%)","Ekerö",2011,"4.081633"
"133","Invånare 65+ i särskilda boendeformer, andel (%)","Eksjö",2008,"4.125459"
"134","Invånare 65+ i särskilda boendeformer, andel (%)","Eksjö",2009,"4.15535"
"135","Invånare 65+ i särskilda boendeformer, andel (%)","Eksjö",2010,"5.309735"
"136","Invånare 65+ i särskilda boendeformer, andel (%)","Eksjö",2011,"4.756899"
"137","Invånare 65+ i särskilda boendeformer, andel (%)","Emmaboda",2008,"3.432494"
"138","Invånare 65+ i särskilda boendeformer, andel (%)","Emmaboda",2009,"3.708609"
"139","Invånare 65+ i särskilda boendeformer, andel (%)","Emmaboda",2010,"3.732639"
"140","Invånare 65+ i särskilda boendeformer, andel (%)","Emmaboda",2011,"3.676785"
"141","Invånare 65+ i särskilda boendeformer, andel (%)","Enköping",2008,"5.486572"
"142","Invånare 65+ i särskilda boendeformer, andel (%)","Enköping",2009,"5.417455"
"143","Invånare 65+ i särskilda boendeformer, andel (%)","Enköping",2010,"5.515619"
"144","Invånare 65+ i särskilda boendeformer, andel (%)","Enköping",2011,"5.361691"
"145","Invånare 65+ i särskilda boendeformer, andel (%)","Eskilstuna",2008,"5.508703"
"146","Invånare 65+ i särskilda boendeformer, andel (%)","Eskilstuna",2009,"5.295154"
"147","Invånare 65+ i särskilda boendeformer, andel (%)","Eskilstuna",2010,"5.114863"
"148","Invånare 65+ i särskilda boendeformer, andel (%)","Eskilstuna",2011,"4.597639"
"149","Invånare 65+ i särskilda boendeformer, andel (%)","Eslöv",2008,"5.586809"
"150","Invånare 65+ i särskilda boendeformer, andel (%)","Eslöv",2009,"5.151572"
"151","Invånare 65+ i särskilda boendeformer, andel (%)","Eslöv",2010,"5.080166"
"152","Invånare 65+ i särskilda boendeformer, andel (%)","Eslöv",2011,"5.077224"
"153","Invånare 65+ i särskilda boendeformer, andel (%)","Essunga",2008,"7.161572"
"154","Invånare 65+ i särskilda boendeformer, andel (%)","Essunga",2009,"6.508876"
"155","Invånare 65+ i särskilda boendeformer, andel (%)","Essunga",2010,"6.130903"
"156","Invånare 65+ i särskilda boendeformer, andel (%)","Essunga",2011,"5.655738"
"157","Invånare 65+ i särskilda boendeformer, andel (%)","Fagersta",2008,"7.19886"
"158","Invånare 65+ i särskilda boendeformer, andel (%)","Fagersta",2009,"7.323055"
"159","Invånare 65+ i särskilda boendeformer, andel (%)","Fagersta",2010,"7.238883"
"160","Invånare 65+ i särskilda boendeformer, andel (%)","Fagersta",2011,"6.909336"
"161","Invånare 65+ i särskilda boendeformer, andel (%)","Falkenberg",2008,"5.192121"
"162","Invånare 65+ i särskilda boendeformer, andel (%)","Falkenberg",2009,"4.950381"
"163","Invånare 65+ i särskilda boendeformer, andel (%)","Falkenberg",2010,"4.978038"
"164","Invånare 65+ i särskilda boendeformer, andel (%)","Falkenberg",2011,"4.713768"
"165","Invånare 65+ i särskilda boendeformer, andel (%)","Falköping",2008,"9.12157"
"166","Invånare 65+ i särskilda boendeformer, andel (%)","Falköping",2009,"8.289295"
"167","Invånare 65+ i särskilda boendeformer, andel (%)","Falköping",2010,"8.101228"
"168","Invånare 65+ i särskilda boendeformer, andel (%)","Falköping",2011,"7.652534"
"169","Invånare 65+ i särskilda boendeformer, andel (%)","Falun",2008,"4.415691"
"170","Invånare 65+ i särskilda boendeformer, andel (%)","Falun",2009,"4.426755"
"171","Invånare 65+ i särskilda boendeformer, andel (%)","Falun",2010,"4.298855"
"172","Invånare 65+ i särskilda boendeformer, andel (%)","Falun",2011,"4.333212"
"173","Invånare 65+ i särskilda boendeformer, andel (%)","Filipstad",2008,"5.612053"
"174","Invånare 65+ i särskilda boendeformer, andel (%)","Filipstad",2009,"5.288285"
"175","Invånare 65+ i särskilda boendeformer, andel (%)","Filipstad",2010,"4.863112"
"176","Invånare 65+ i särskilda boendeformer, andel (%)","Filipstad",2011,"4.978663"
"177","Invånare 65+ i särskilda boendeformer, andel (%)","Finspång",2008,"4.683998"
"178","Invånare 65+ i särskilda boendeformer, andel (%)","Finspång",2009,"4.470234"
"179","Invånare 65+ i särskilda boendeformer, andel (%)","Finspång",2010,"4.370556"
"180","Invånare 65+ i särskilda boendeformer, andel (%)","Finspång",2011,"4.30876"
"181","Invånare 65+ i särskilda boendeformer, andel (%)","Flen",2008,"3.350225"
"182","Invånare 65+ i särskilda boendeformer, andel (%)","Flen",2009,"3.241491"
"183","Invånare 65+ i särskilda boendeformer, andel (%)","Flen",2010,"3.029505"
"184","Invånare 65+ i särskilda boendeformer, andel (%)","Flen",2011,"2.983565"
"185","Invånare 65+ i särskilda boendeformer, andel (%)","Forshaga",2008,"7.156398"
"186","Invånare 65+ i särskilda boendeformer, andel (%)","Forshaga",2009,"6.486006"
"187","Invånare 65+ i särskilda boendeformer, andel (%)","Forshaga",2010,"6.001727"
"188","Invånare 65+ i särskilda boendeformer, andel (%)","Forshaga",2011,"4.547334"
"189","Invånare 65+ i särskilda boendeformer, andel (%)","Färgelanda",2008,"8.008658"
"190","Invånare 65+ i särskilda boendeformer, andel (%)","Färgelanda",2009,"6.262904"
"191","Invånare 65+ i särskilda boendeformer, andel (%)","Färgelanda",2010,"6.834771"
"192","Invånare 65+ i särskilda boendeformer, andel (%)","Färgelanda",2011,"5.540897"
"193","Invånare 65+ i särskilda boendeformer, andel (%)","Gagnef",2008,"5.492228"
"194","Invånare 65+ i särskilda boendeformer, andel (%)","Gagnef",2009,"4.72167"
"195","Invånare 65+ i särskilda boendeformer, andel (%)","Gagnef",2010,"4.997597"
"196","Invånare 65+ i särskilda boendeformer, andel (%)","Gagnef",2011,"4.918033"
"197","Invånare 65+ i särskilda boendeformer, andel (%)","Gislaved",2008,"8.685163"
"198","Invånare 65+ i särskilda boendeformer, andel (%)","Gislaved",2009,"8.956938"
"199","Invånare 65+ i särskilda boendeformer, andel (%)","Gislaved",2010,"8.303655"
"200","Invånare 65+ i särskilda boendeformer, andel (%)","Gislaved",2011,"8.197621"
"201","Invånare 65+ i särskilda boendeformer, andel (%)","Gnesta",2008,"5.495751"
"202","Invånare 65+ i särskilda boendeformer, andel (%)","Gnesta",2009,"4.835391"
"203","Invånare 65+ i särskilda boendeformer, andel (%)","Gnesta",2010,"4.6706"
"204","Invånare 65+ i särskilda boendeformer, andel (%)","Gnesta",2011,"4.323308"
"205","Invånare 65+ i särskilda boendeformer, andel (%)","Gnosjö",2008,"5.193951"
"206","Invånare 65+ i särskilda boendeformer, andel (%)","Gnosjö",2009,"5.028644"
"207","Invånare 65+ i särskilda boendeformer, andel (%)","Gnosjö",2010,"4.802956"
"208","Invånare 65+ i särskilda boendeformer, andel (%)","Gnosjö",2011,"4.387019"
"209","Invånare 65+ i särskilda boendeformer, andel (%)","Gotland",2008,"5.854843"
"210","Invånare 65+ i särskilda boendeformer, andel (%)","Gotland",2009,"5.152979"
"211","Invånare 65+ i särskilda boendeformer, andel (%)","Gotland",2010,"4.639935"
"212","Invånare 65+ i särskilda boendeformer, andel (%)","Gotland",2011,"4.458146"
"213","Invånare 65+ i särskilda boendeformer, andel (%)","Grums",2008,"5.108359"
"214","Invånare 65+ i särskilda boendeformer, andel (%)","Grums",2009,"4.957858"
"215","Invånare 65+ i särskilda boendeformer, andel (%)","Grums",2010,"4.951456"
"216","Invånare 65+ i särskilda boendeformer, andel (%)","Grums",2011,"4.583723"
"217","Invånare 65+ i särskilda boendeformer, andel (%)","Grästorp",2008,"6.719717"
"218","Invånare 65+ i särskilda boendeformer, andel (%)","Grästorp",2009,"5.343511"
"219","Invånare 65+ i särskilda boendeformer, andel (%)","Grästorp",2010,"5.443886"
"220","Invånare 65+ i särskilda boendeformer, andel (%)","Grästorp",2011,"5.363036"
"221","Invånare 65+ i särskilda boendeformer, andel (%)","Gullspång",2008,"6.289308"
"222","Invånare 65+ i särskilda boendeformer, andel (%)","Gullspång",2009,"3.854707"
"223","Invånare 65+ i särskilda boendeformer, andel (%)","Gullspång",2010,"3.415698"
"224","Invånare 65+ i särskilda boendeformer, andel (%)","Gullspång",2011,"3.239437"
"225","Invånare 65+ i särskilda boendeformer, andel (%)","Gällivare",2008,"7.107723"
"226","Invånare 65+ i särskilda boendeformer, andel (%)","Gällivare",2009,"7.219957"
"227","Invånare 65+ i särskilda boendeformer, andel (%)","Gällivare",2010,"7.251185"
"228","Invånare 65+ i särskilda boendeformer, andel (%)","Gällivare",2011,"7.117934"
"229","Invånare 65+ i särskilda boendeformer, andel (%)","Gävle",2008,"5.141435"
"230","Invånare 65+ i särskilda boendeformer, andel (%)","Gävle",2009,"5.100383"
"231","Invånare 65+ i särskilda boendeformer, andel (%)","Gävle",2010,"4.999156"
"232","Invånare 65+ i särskilda boendeformer, andel (%)","Gävle",2011,"4.878449"
"233","Invånare 65+ i särskilda boendeformer, andel (%)","Göteborg",2008,"6.186251"
"234","Invånare 65+ i särskilda boendeformer, andel (%)","Göteborg",2009,"6.142207"
"235","Invånare 65+ i särskilda boendeformer, andel (%)","Göteborg",2010,"6.148477"
"236","Invånare 65+ i särskilda boendeformer, andel (%)","Göteborg",2011,"5.440961"
"237","Invånare 65+ i särskilda boendeformer, andel (%)","Götene",2008,"6.134969"
"238","Invånare 65+ i särskilda boendeformer, andel (%)","Götene",2009,"5.830116"
"239","Invånare 65+ i särskilda boendeformer, andel (%)","Götene",2010,"5.95952"
"240","Invånare 65+ i särskilda boendeformer, andel (%)","Götene",2011,"5.217704"
"241","Invånare 65+ i särskilda boendeformer, andel (%)","Habo",2008,"5.886427"
"242","Invånare 65+ i särskilda boendeformer, andel (%)","Habo",2009,"5.30638"
"243","Invånare 65+ i särskilda boendeformer, andel (%)","Habo",2010,"5.039466"
"244","Invånare 65+ i särskilda boendeformer, andel (%)","Habo",2011,"4.701103"
"245","Invånare 65+ i särskilda boendeformer, andel (%)","Hagfors",2008,"4.653231"
"246","Invånare 65+ i särskilda boendeformer, andel (%)","Hagfors",2009,"4.926254"
"247","Invånare 65+ i särskilda boendeformer, andel (%)","Hagfors",2010,"4.850088"
"248","Invånare 65+ i särskilda boendeformer, andel (%)","Hagfors",2011,"4.714495"
"249","Invånare 65+ i särskilda boendeformer, andel (%)","Hallsberg",2008,"7.480449"
"250","Invånare 65+ i särskilda boendeformer, andel (%)","Hallsberg",2009,"7.652231"
"251","Invånare 65+ i särskilda boendeformer, andel (%)","Hallsberg",2010,"7.361769"
"252","Invånare 65+ i särskilda boendeformer, andel (%)","Hallsberg",2011,"7.4375"
"253","Invånare 65+ i särskilda boendeformer, andel (%)","Hallstahammar",2008,"5.296343"
"254","Invånare 65+ i särskilda boendeformer, andel (%)","Hallstahammar",2009,"5.226375"
"255","Invånare 65+ i särskilda boendeformer, andel (%)","Hallstahammar",2010,"5.15433"
"256","Invånare 65+ i särskilda boendeformer, andel (%)","Hallstahammar",2011,"4.823151"
"257","Invånare 65+ i särskilda boendeformer, andel (%)","Halmstad",2008,"7.237957"
"258","Invånare 65+ i särskilda boendeformer, andel (%)","Halmstad",2009,"6.413137"
"259","Invånare 65+ i särskilda boendeformer, andel (%)","Halmstad",2010,"6.507409"
"260","Invånare 65+ i särskilda boendeformer, andel (%)","Halmstad",2011,"5.804894"
"261","Invånare 65+ i särskilda boendeformer, andel (%)","Hammarö",2008,"5.371531"
"262","Invånare 65+ i särskilda boendeformer, andel (%)","Hammarö",2009,"4.722452"
"263","Invånare 65+ i särskilda boendeformer, andel (%)","Hammarö",2010,"4.361874"
"264","Invånare 65+ i särskilda boendeformer, andel (%)","Hammarö",2011,"4.153727"
"265","Invånare 65+ i särskilda boendeformer, andel (%)","Haninge",2008,"2.522936"
"266","Invånare 65+ i särskilda boendeformer, andel (%)","Haninge",2009,"3.315238"
"267","Invånare 65+ i särskilda boendeformer, andel (%)","Haninge",2010,"3.204541"
"268","Invånare 65+ i särskilda boendeformer, andel (%)","Haninge",2011,"3.095677"
"269","Invånare 65+ i särskilda boendeformer, andel (%)","Haparanda",2008,"7.983193"
"270","Invånare 65+ i särskilda boendeformer, andel (%)","Haparanda",2009,"8.204193"
"271","Invånare 65+ i särskilda boendeformer, andel (%)","Haparanda",2010,"7.259849"
"272","Invånare 65+ i särskilda boendeformer, andel (%)","Haparanda",2011,"5.569837"
"273","Invånare 65+ i särskilda boendeformer, andel (%)","Heby",2008,"6.002876"
"274","Invånare 65+ i särskilda boendeformer, andel (%)","Heby",2009,"5.325858"
"275","Invånare 65+ i särskilda boendeformer, andel (%)","Heby",2010,"5.141301"
"276","Invånare 65+ i särskilda boendeformer, andel (%)","Heby",2011,"4.742819"
"277","Invånare 65+ i särskilda boendeformer, andel (%)","Hedemora",2008,"4.772167"
"278","Invånare 65+ i särskilda boendeformer, andel (%)","Hedemora",2009,"4.724646"
"279","Invånare 65+ i särskilda boendeformer, andel (%)","Hedemora",2010,"4.294118"
"280","Invånare 65+ i särskilda boendeformer, andel (%)","Hedemora",2011,"3.789836"
"281","Invånare 65+ i särskilda boendeformer, andel (%)","Helsingborg",2008,"4.973002"
"282","Invånare 65+ i särskilda boendeformer, andel (%)","Helsingborg",2009,"4.907579"
"283","Invånare 65+ i särskilda boendeformer, andel (%)","Helsingborg",2010,"4.916021"
"284","Invånare 65+ i särskilda boendeformer, andel (%)","Helsingborg",2011,"4.759934"
"285","Invånare 65+ i särskilda boendeformer, andel (%)","Herrljunga",2008,"5.839822"
"286","Invånare 65+ i särskilda boendeformer, andel (%)","Herrljunga",2009,"4.754274"
"287","Invånare 65+ i särskilda boendeformer, andel (%)","Herrljunga",2010,"4.435276"
"288","Invånare 65+ i särskilda boendeformer, andel (%)","Herrljunga",2011,"4.332494"
"289","Invånare 65+ i särskilda boendeformer, andel (%)","Hjo",2008,"5.662452"
"290","Invånare 65+ i särskilda boendeformer, andel (%)","Hjo",2009,"5.314757"
"291","Invånare 65+ i särskilda boendeformer, andel (%)","Hjo",2010,"5.147426"
"292","Invånare 65+ i särskilda boendeformer, andel (%)","Hjo",2011,"5.124451"
"293","Invånare 65+ i särskilda boendeformer, andel (%)","Hofors",2008,"7.281344"
"294","Invånare 65+ i särskilda boendeformer, andel (%)","Hofors",2009,"7.914894"
"295","Invånare 65+ i särskilda boendeformer, andel (%)","Hofors",2010,"7.195174"
"296","Invånare 65+ i särskilda boendeformer, andel (%)","Hofors",2011,"5.852417"
"297","Invånare 65+ i särskilda boendeformer, andel (%)","Huddinge",2008,"6.492419"
"298","Invånare 65+ i särskilda boendeformer, andel (%)","Huddinge",2009,"5.456885"
"299","Invånare 65+ i särskilda boendeformer, andel (%)","Huddinge",2010,"5.163111"
"300","Invånare 65+ i särskilda boendeformer, andel (%)","Huddinge",2011,"5.235853"
"301","Invånare 65+ i särskilda boendeformer, andel (%)","Hudiksvall",2008,"6.835752"
"302","Invånare 65+ i särskilda boendeformer, andel (%)","Hudiksvall",2009,"6.514995"
"303","Invånare 65+ i särskilda boendeformer, andel (%)","Hudiksvall",2010,"6.139802"
"304","Invånare 65+ i särskilda boendeformer, andel (%)","Hudiksvall",2011,"5.893767"
"305","Invånare 65+ i särskilda boendeformer, andel (%)","Hultsfred",2008,"3.993994"
"306","Invånare 65+ i särskilda boendeformer, andel (%)","Hultsfred",2009,"3.792299"
"307","Invånare 65+ i särskilda boendeformer, andel (%)","Hultsfred",2010,"3.600465"
"308","Invånare 65+ i särskilda boendeformer, andel (%)","Hultsfred",2011,"3.595245"
"309","Invånare 65+ i särskilda boendeformer, andel (%)","Hylte",2008,"5.930967"
"310","Invånare 65+ i särskilda boendeformer, andel (%)","Hylte",2009,"5.828954"
"311","Invånare 65+ i särskilda boendeformer, andel (%)","Hylte",2010,"5.698272"
"312","Invånare 65+ i särskilda boendeformer, andel (%)","Hylte",2011,"5.396679"
"313","Invånare 65+ i särskilda boendeformer, andel (%)","Håbo",2008,"3.584559"
"314","Invånare 65+ i särskilda boendeformer, andel (%)","Håbo",2009,"2.29709"
"315","Invånare 65+ i särskilda boendeformer, andel (%)","Håbo",2010,"2.900601"
"316","Invånare 65+ i särskilda boendeformer, andel (%)","Håbo",2011,"2.625533"
