Kommun/Landsting;Nyckeltal;År;Visat Värde
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;1998;2530.134068
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;1999;2414.653832
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2000;2447.769196
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2001;2462.230856
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2002;2523.076905
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2003;2606.422958
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2004;2719.961586
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2005;2767.307699
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2006;2752.692557
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2007;2857.423077
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2008;3002.692308
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2009;3128.115385
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2010;3206.267938
Stockholms län (ovägt medel);Kostnad individ- och familjeomsorg, kr/inv;2011;3314.038462
Stockholms län (ovägt medel);U. Aktuella familjer/ärenden med barn under 18 och stödinsats, andel (%);2011;27.8090909
Stockholms län (ovägt medel);U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2009;45.8
Stockholms län (ovägt medel);U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2010;59
Stockholms län (ovägt medel);U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2011;39.16666666
Stockholms län (ovägt medel);U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2012;58.8
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1998;85.185185
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1999;90
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2000;88.372093
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2001;85.454545
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2002;94
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2003;90.322581
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2004;94.904459
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2005;91.970803
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2006;95.757576
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;94.148936
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;96.891192
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;93.75
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;94.270833
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;92.907801
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;95.031056
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;78.876679
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;82.120838
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;78.887484
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;81.355932
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;84.469274
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;79.045093
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;82.559598
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;81.818182
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;81.057269
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;83.162685
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;81.256656
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;81.373569
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;84.349827
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;81.757508
Botkyrka;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;78.451613
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;1996;4846
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;1997;4973
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;1998;4789.999859
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;1999;4602.999182
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2000;4445.999152
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2001;4421.000391
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2002;4461.000319
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2003;4516.999417
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2004;4552.000527
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2005;4580.999321
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2006;4416.000671
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2007;4549
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2008;4443
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2009;4521
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2010;4860.001453
Botkyrka;Kostnad individ- och familjeomsorg, kr/inv;2011;4916
Botkyrka;U. Aktuella familjer/ärenden med barn under 18 och stödinsats, andel (%);2011;0
Botkyrka;U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2009;53
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1998;28.571429
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1999;28.571429
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2001;20
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2002;25
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2004;70
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2005;95
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2006;97.126437
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;99.099099
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;99.375
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;96.571429
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;98.214286
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;99.404762
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;99.435028
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;99
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;97.553517
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;98.153846
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;98.102981
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;99.503722
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;97.44898
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;98.944591
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;99.270073
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;99.016393
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;99.392097
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;98.381877
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;98.713826
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;98.392283
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;97.019868
Danderyd;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;99.256506
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;1996;1070
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;1997;563
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;1998;1002.000067
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;1999;896.999933
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2000;1018
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2001;830
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2002;892.999832
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2003;899.000134
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2004;1044
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2005;1190
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2006;1245.999934
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2007;1124
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2008;1270
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2009;1098
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2010;815.991063
Danderyd;Kostnad individ- och familjeomsorg, kr/inv;2011;1200
Danderyd;U. Aktuella familjer/ärenden med barn under 18 och stödinsats, andel (%);2011;12.5
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1998;75
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);1999;40
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2000;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2001;66.666667
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2002;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2003;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2004;66.666667
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2005;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2006;81.818182
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;90.909091
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;97.142857
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;100
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;93.939394
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;91.555556
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;96.313364
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;95.294118
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;93.150685
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;90.425532
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;91.333333
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;88.068182
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;92.265193
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;91.142857
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;96.187683
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;93.674699
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;94.0625
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;95.666667
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;95.419847
Ekerö;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;93.617021
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;1996;2040
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;1997;2006
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;1998;1811.00014
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;1999;1836.000091
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2000;2216.00018
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2001;2198.000088
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2002;1769.000262
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2003;2060.999957
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2004;1940
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2005;1954
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2006;2250
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2007;2507
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2008;2632
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2009;1965
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2010;2087.996852
Ekerö;Kostnad individ- och familjeomsorg, kr/inv;2011;1956
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;88.888889
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;81.052632
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;94.642857
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;90.721649
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;95.238095
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;84.615385
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;83.95574
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;83.85346
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;80.453972
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;78.694581
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;84.459459
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;82.954545
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;83.313468
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;84.026258
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;86.626747
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;84.666667
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;83.568075
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;85.485714
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;79.263804
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;82.12824
Haninge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;80.811232
Haninge;Kostnad individ- och familjeomsorg, kr/inv;1996;3145
Haninge;Kostnad individ- och familjeomsorg, kr/inv;1997;3300
Haninge;Kostnad individ- och familjeomsorg, kr/inv;1998;3115.00059
Haninge;Kostnad individ- och familjeomsorg, kr/inv;1999;3190
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2000;3324.000632
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2001;3369.999432
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2002;3358.999746
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2003;3197.999356
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2004;3558.00014
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2005;3427.000014
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2006;3542.000658
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2007;3773
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2008;3886
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2009;4241
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2010;4397.993615
Haninge;Kostnad individ- och familjeomsorg, kr/inv;2011;4725
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2001;65.714286
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2002;60.759494
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2003;81.343284
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2004;71.590909
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2005;87.5
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2006;87.804878
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2007;94.897959
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2008;92.134831
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2009;97.142857
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2010;93.617021
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2011;93.939394
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, fristående skolor, andel (%);2012;91.269841
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1998;85.849057
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);1999;84.596871
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2000;84.777778
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2001;87.5
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2002;89.784946
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2003;91.460674
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2004;88.339921
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2005;89.095993
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2006;90.277778
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2007;90.224215
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2008;87.40942
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2009;89.655172
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2010;88.176895
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2011;88.739172
Huddinge;Elever i åk. 9 med minst godkänt i svenska, matematik och engelska, kommunala skolor, andel (%);2012;88.789683
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;1996;3676
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;1997;4196
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;1998;3581.000504
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;1999;3458.000483
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2000;3385.999882
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2001;3562
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2002;3447.000243
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2003;3644.999483
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2004;3902.99951
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2005;3586
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2006;3507.000288
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2007;3590
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2008;3742
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2009;3910
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2010;3748.001601
Huddinge;Kostnad individ- och familjeomsorg, kr/inv;2011;3972
Huddinge;U. Aktuella familjer/ärenden med barn under 18 och stödinsats, andel (%);2011;2.5
Huddinge;U. Utredningstid i antal dagar från påbörjad utredning till avslutad utredning för vuxna med missbruksproblem 21+ år, medelvärde;2010;79
