"","Kortnamn","Beskrivning","Kod"
"35","Kostnadsutj.netto: Grundskola, kr/inv. 1 nov fg år","Kostnadsutj.netto: Grundskola, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00023"
"36","Kostnadsutj.netto: Äldreomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: Äldreomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00024"
"37","Kostnadsutj.netto: Äldreomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: Äldreomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00024"
"38","Kostnadsutj.netto: Individ- och familjeomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: Individ- och familjeomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00025"
"39","Kostnadsutj.netto: Individ- och familjeomsorg, kr/inv. 1 nov fg år","Kostnadsutj.netto: Individ- och familjeomsorg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00025"
"40","Kostnadsutj.netto: Gymnasieskolan, kr/inv. 1 nov fg år","Kostnadsutj.netto: Gymnasieskolan, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00026"
"41","Kostnadsutj.netto: Gymnasieskolan, kr/inv. 1 nov fg år","Kostnadsutj.netto: Gymnasieskolan, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00026"
"42","Kostnadsutj.netto: Övrigt, kr/inv. 1 nov fg år","Kostnadsutj.netto: Övrigt, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00027"
"43","Kostnadsutj.netto: Övrigt, kr/inv. 1 nov fg år","Kostnadsutj.netto: Övrigt, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00027"
"44","Kostnadsutj.netto: Bebyggelsestruktur, kr/inv. 1 nov fg år","Kostnadsutj.netto: Bebyggelsestruktur, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00028"
"45","Kostnadsutj.netto: Bebyggelsestruktur, kr/inv. 1 nov fg år","Kostnadsutj.netto: Bebyggelsestruktur, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00028"
"46","Kostnadsutj.netto: Barn med utländsk bakgrund, kr/inv. 1 nov fg år (2000-)","Kostnadsutj.netto: Barn med utländsk bakgrund, tkr dividerat med antal invånare totalt 1/11 nov fg år (2000-)","N00029"
"47","Kostnadsutj.netto: Barn med utländsk bakgrund, kr/inv. 1 nov fg år (2000-)","Kostnadsutj.netto: Barn med utländsk bakgrund, tkr dividerat med antal invånare totalt 1/11 nov fg år (2000-)","N00029"
"48","Kostnadsutj.netto: Vatten och avlopp, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Vatten och avlopp, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00030"
"49","Kostnadsutj.netto: Kollektivtrafik, kr/inv. 1 nov fg år","Kostnadsutj.netto: Kollektivtrafik, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00031"
"50","Kostnadsutj.netto: Kollektivtrafik, kr/inv. 1 nov fg år","Kostnadsutj.netto: Kollektivtrafik, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00031"
"51","Kostnadsutj.netto: Gator och vägar, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Gator och vägar, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00032"
"52","Kostnadsutj.netto: Uppvärmning, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Uppvärmning, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00033"
"53","Kostnadsutj.netto: Administration mm i glesbygd, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Administration mm i glesbygd, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00034"
"54","Kostnadsutj.netto: Byggkostnader, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Byggkostnader, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00035"
"55","Kostnadsutj.netto: Kallort, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Kallort, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00036"
"56","Kostnadsutj.netto: Svagt befolkningsunderlag, kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Svagt befolkningsunderlag, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00037"
"57","Kostnadsutj.netto: Sysselsättningsbefr. åtg., kr/inv. 1 nov fg år (-2004)","Kostnadsutj.netto: Sysselsättningsbefr. åtg, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00038"
"58","Kostnadsutj.netto: Befolkningsförändring, kr/inv. 1 nov fg år","Kostnadsutj.netto: Befolkningsförändring, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00039"
"59","Kostnadsutj.netto: Befolkningsförändring, kr/inv. 1 nov fg år","Kostnadsutj.netto: Befolkningsförändring, tkr dividerat med antal invånare totalt 1/11 nov fg år","N00039"
"60","Underlag för utjämning, kr/inv. 1 nov fg år","Garanterad skattekraft, kr/inv. 1 nov fg år minus Skattekraft, kr/inv. 1 nov fg år","N00040"
"61","Underlag för utjämning, kr/inv. 1 nov fg år","Garanterad skattekraft, kr/inv. 1 nov fg år minus Skattekraft, kr/inv. 1 nov fg år","N00040"
"62","Länsvis skattesats, (%)","Länsvis skattesats, (%)","N00041"
"63","Länsvis skattesats, (%)","Länsvis skattesats, (%)","N00041"
"64","Garanterad skattekraft, kr/inv. 1 nov fg år","Garanterad skattekraft, kr/inv. 1 nov fg år","N00042"
"65","Skattekraft kommun, uppräknad, kr/inv. 1 nov fg år","Skattekraft, kr/inv. 1 nov fg år multiplicerat med uppräkningsfaktorer år T och år T-1 fastställda av regeringen. Skattekraften ligger bl.a. till grund för inkomstutjämningen och beräkning av skatteintäkter.","N00043"
"66","Skattekraft kommun, uppräknad, kr/inv. 1 nov fg år","Skattekraft, kr/inv. 1 nov fg år multiplicerat med uppräkningsfaktorer år T och år T-1 fastställda av regeringen. Skattekraften ligger bl.a. till grund för inkomstutjämningen och beräkning av skatteintäkter.","N00043"
"67","Skattesats efter kompensation, (%)","Skattesats efter kompensation, (%)","N00044"
"68","Skattesats efter kompensation, (%)","Skattesats efter kompensation, (%)","N00044"
"69","Länsvis korrigering, (%)","Länsvis korrigering, (%)","N00045"
"70","Länsvis korrigering, (%)","Länsvis korrigering, (%)","N00045"
"71","Genomsnittlig skattesats basår, (%)","Genomsnittlig skattesats basår, %","N00046"
"72","Kompensationsgrad, (%)","Kompensationsgrad, (%)","N00047"
"73","Kompensationsgrad, (%)","Kompensationsgrad, (%)","N00047"
"74","Skattekraft, kr/inv. 1 nov fg år","Skattekraft, kr/inv. 1 nov fg år","N00048"
"75","Uppräkningsfaktor","Av regeringen fastställda uppräkningsfaktorer för innevarande och föregående år. Används vid uppräkning av skattekraften till innevarande år, för beräkning av inkomstutjämning och skatteintäkter.","N00049"
"76","Månadsavlönad personal, totalt kommunalt anställda, antal","Månadsavlönad personal, totalt antal kommunalt anställda. Antal som varit anställda eller har fått lön i november månad.","N00053"
"77","Månadsavlönad personal, kommunalt anställda  - 29 år, antal","Månadsavlönad personal, antal kommunalt anställda  29 år eller yngre. Antal som varit anställda eller har fått lön i november månad.","N00054"
"78","Månadsavlönad personal, kommunalt anställda 30 - 39 år, antal","Månadsavlönad personal, antal kommunalt anställda 30 - 39 år. Antal som varit anställda eller har fått lön i november månad.","N00055"
"79","Månadsavlönad personal, kommunalt anställda 40 - 49 år, antal","Månadsavlönad personal, antal kommunalt anställda 40 - 49 år. Antal som varit anställda eller har fått lön i november månad.","N00056"
"80","Månadsavlönad personal, kommunalt anställda 50 - 54 år, antal","Månadsavlönad personal, antal kommunalt anställda 50 - 54 år. Antal som varit anställda eller har fått lön i november månad.","N00057"
"81","Månadsavlönad personal, kommunalt anställda 55 - 59 år, antal","Månadsavlönad personal, antal kommunalt anställda 55 - 59 år. Antal som varit anställda eller har fått lön i november månad.","N00058"
"82","Månadsavlönad personal, kommunalt anställda 60 -    år, antal","Månadsavlönad personal, antal kommunalt anställda 60 år eller äldre. Antal som varit anställda eller har fått lön i november månad.","N00059"
"83","Månadsavlönad personal, kommunalt anställda i ledningsarbete, antal","Månadsavlönad personal, antal kommunalt anställda i ledningsarbete. Antal som varit anställda eller har fått lön i november månad.","N00060"
"84","Månadsavlönad personal, kommunalt anställda handläggare, antal","Månadsavlönad personal, antal kommunalt anställda handläggare. Antal som varit anställda eller har fått lön i november månad.","N00061"
"85","Månadsavlönad personal, kommunalt anställda administratörer, antal","Månadsavlönad personal, antal kommunalt anställda administratörer. Antal som varit anställda eller har fått lön i november månad.","N00062"
"86","Månadsavlönad personal, kommunalt anställda inom övrigt socialt kurativt arbete, antal","Månadsavlönad personal, antal kommunalt anställda inom övrigt socialt kurativt arbete. Antal som varit anställda eller har fått lön i november månad.","N00063"
"87","Månadsavlönad personal, kommunalt anställda tekniker, antal","Månadsavlönad personal, antal kommunalt anställda tekniker. Antal som varit anställda eller har fått lön i november månad.","N00064"
"88","Månadsavlönad personal, kommunalt anställda i hantverkararbete, antal","Månadsavlönad personal, antal kommunalt anställda i hantverkararbete. Antal som varit anställda eller har fått lön i november månad.","N00065"
"89","Månadsavlönad personal, kommunalt anställda i köks- och måltidsarbete, antal","Månadsavlönad personal, antal kommunalt anställda i köks- och måltidsarbete. Antal som varit anställda eller har fått lön i november månad.","N00066"
"90","Månadsavlönad personal, kommunalt anställda inom städ, tvätt och renhållning, antal","Månadsavlönad personal, antal kommunalt anställda inom städ, tvätt och renhållning. Antal som varit anställda eller har fått lön i november månad.","N00067"
"91","Månadsavlönad personal, kommunalt anställda inom övrig verksamhet, antal","Månadsavlönad personal, antal kommunalt anställda inom övrig verksamhet. Antal som varit anställda eller har fått lön i november månad.","N00068"
"92","Månadsavlönad personal, heltidsanställda i kommunen, antal","Månadsavlönad personal, antal heltidsanställda i kommunen. Antal som varit anställda eller har fått lön i november månad.","N00069"
"93","Månadsavlönad personal, deltidsanställda i kommunen, antal","Månadsavlönad personal, antal deltidsanställda i kommunen. Antal som varit anställda eller har fått lön i november månad.","N00070"
"94","Månadsavlönad personal, tillsvidareanställda i kommunen, antal","Månadsavlönad personal, antal tillsvidareanställda i kommunen. Antal som varit anställda eller har fått lön i november månad.","N00071"
"95","Månadsavlönad personal, visstidsanställda i kommunen, antal","Månadsavlönad personal, antal visstidsanställda i kommunen. Antal som varit anställda eller har fått lön i november månad.","N00072"
"96","Årsarbetare, kommunalt anställda i ledningsarbete, antal","Årsarbetare, antal kommunalt anställda i ledningsarbete. Avser både månadsavlönade och timavlönade.","N00073"
"97","Årsarbetare, kommunalt anställda handläggare, antal","Årsarbetare, antal kommunalt anställda handläggare. Avser både månadsavlönade och timavlönade.","N00074"
"98","Årsarbetare, kommunalt anställda administratörer, antal","Årsarbetare, antal kommunalt anställda administratörer. Avser både månadsavlönade och timavlönade.","N00075"
"99","Årsarbetare, kommunalt anställda inom övrigt socialt kurativt arbete, antal","Årsarbetare, antal kommunalt anställda inom övrigt socialt kurativt arbete. Avser både månadsavlönade och timavlönade.","N00076"
"100","Årsarbetare, kommunalt anställda tekniker, antal","Årsarbetare, antal kommunalt anställda tekniker. Avser både månadsavlönade och timavlönade.","N00077"
"101","Årsarbetare, kommunalt anställda i hantverkararbete, antal","Årsarbetare, antal kommunalt anställda i hantverkararbete. Avser både månadsavlönade och timavlönade.","N00078"
"102","Årsarbetare, kommunalt anställda i köks- och måltidsarbete, antal","Årsarbetare, antal kommunalt anställda i köks- och måltidsarbete. Avser både månadsavlönade och timavlönade.","N00079"
"103","Årsarbetare, kommunalt anställda inom städ, tvätt och renhållning, antal","Årsarbetare, antal kommunalt anställda inom städ, tvätt och renhållning. Avser både månadsavlönade och timavlönade.","N00080"
"104","Årsarbetare, kommunalt anställda inom övrig verksamhet, antal","Årsarbetare, antal kommunalt anställda inom övrig verksamhet. Avser både månadsavlönade och timavlönade.","N00081"
"105","Årsarbetare, kommunalt anställda månadsavlönade, antal","Årsarbetare, antal kommunalt anställda månadsavlönade.","N00082"
"106","Årsarbetare, kommunalt anställda timavlönade, antal","Årsarbetare, antal kommunalt anställda timavlönade.","N00083"
"107","Kommunalt anställda med högskoleutbildning, antal","Antal kommunalt anställda med högskoleutbildning, totalt.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00084"
"108","Kommunalt anställda med högskoleutbildning (män), antal","Antal kommunalt anställda män med högskoleutbildning.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00085"
"109","Kommunalt anställda med högskoleutbildning (kvinnor), antal","Antal kommunalt anställda kvinnor med högskoleutbildning.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00086"
"110","Kommunalt anställda i förvaltningsform, antal","Antal kommunalt anställda i förvaltningsform.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00087"
"111","Kommunalt anställda i kommunalförbund, antal","Antal kommunalt anställda i kommunalförbund.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00088"
"112","Kommunalt anställda i kommunala bolag, antal","Antal kommunalt anställda i kommunala bolag.  Avser månadsavlönade som varit anställda eller fått lön under november månad år T.","N00089"
"113","Sjukfrånvaro totalt, (%)","Den totala sjukfrånvarotiden, ackumulerad under året, som andel (%) av den tillgängliga ordinarie arbetstiden. Avser samtlig kommunalt anställd personal. Avser den obligatoriska sjukfrånvaroredovisningen.","N00090"
"114","Sjukfrånvaro mer än 59 dagar som andel av total sjukfrånvaro, (%)","Sjukfrånvaro mer än 59 dagar som andel av total sjukfrånvaro, (%). Avser den obligatoriska sjukfrånvaroredovisningen.","N00091"
"115","Sjukfrånvaro för anställda < 30 år, (%)","Sjukfrånvaro för anställda < 30 år, (%). Avser den obligatoriska sjukfrånvaroredovisningen.","N00092"
"116","Sjukfrånvaro för anställda 30-49 år, (%)","Sjukfrånvaro för anställda 30-49 år, (%). Avser den obligatoriska sjukfrånvaroredovisningen.","N00093"
"117","Sjukfrånvaro för anställda > 49 år, (%)","Sjukfrånvaro för anställda > 49 år, (%). Avser den obligatoriska sjukfrånvaroredovisningen.","N00094"
"118","Kostnad egentlig verksamhet, kr/inv","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för kommunens löpande egentliga verksamhete (huvudsakligen skattefinansierad) dividerat med antal invånare i kommunen den 31/12","N00095"
"119","Nettokostnad egentlig verksamhet, kr/inv","Bruttokostnad minus interna och externa intäkter för kommunens löpande egentliga verksamheter (huvudsakligen skattefinansierad) dividerat med antal invånare i kommunen den 31/12","N00096"
"120","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad totalt, andel (%)","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad totalt, andel (%)","N00097"
"121","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad totalt, andel (%)","Avvikelse redovisad kostnad och strukturårsjusterad standardkostnad totalt, andel (%)","N00097"
"122","Strukturkostnad kommunen, kr/inv","Strukturkostnaden är summan av alla standardkostnader (kr/inv) enligt det kommunala kostnadsutjämningssystemet (ej LSS-utjämningssystemet). Standardkostnader beräknas för Förskoleverksamhet och barnomsorg, Förskoleklass och grundskola, Gymnasieskola, Indi","N00100"
"123","Strukturkostnad kommunen, kr/inv","Strukturkostnaden är summan av alla standardkostnader (kr/inv) enligt det kommunala kostnadsutjämningssystemet (ej LSS-utjämningssystemet). Standardkostnader beräknas för Förskoleverksamhet och barnomsorg, Förskoleklass och grundskola, Gymnasieskola, Indi","N00100"
"124","Strukturkostnad kommunen, kr/inv","Strukturkostnaden är summan av alla standardkostnader (kr/inv) enligt det kommunala kostnadsutjämningssystemet (ej LSS-utjämningssystemet). Standardkostnader beräknas för Förskoleverksamhet och barnomsorg, Förskoleklass och grundskola, Gymnasieskola, Indi","N00100"
"125","Strukturkostnad kommunen, kr/inv","Strukturkostnaden är summan av alla standardkostnader (kr/inv) enligt det kommunala kostnadsutjämningssystemet (ej LSS-utjämningssystemet). Standardkostnader beräknas för Förskoleverksamhet och barnomsorg, Förskoleklass och grundskola, Gymnasieskola, Indi","N00100"
"126","Standardkostnad barn och ungdom med utländsk bakgrund, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för barn och ungdomar med utländsk bakgrund  enligt det kommunala utjämningssystemet\n","N00101"
"127","Standardkostnad befolkningsförändring, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för befolkningsförändringar enligt det kommunala utjämningssystemet\n","N00102"
"128","Standardkostnad bebyggelsestruktur, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för bebyggelsestruktur enligt det kommunala utjämningssystemet\n","N00103"
"129","Standardkostnad löner, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för löner enligt det kommunala utjämningssystemet\n","N00104"
"130","Standardkostnad kollektivtrafik, kr/inv","Standardkostnaden (kr/inv 1 nov fg år) för kollektivtrafik enligt det kommunala utjämningssystemet\n","N00105"
"131","Invånare 16-64 år som är arbetslösa el. i konjunkturberoende program, andel (%)","Antal personer 16-64 år arbetslösa el. i konjunkturberoende program dividerat med antal invånare 16-64 år 31/12.","N00800"
"132","Invånare 16-64 år som är arbetslösa el. i konjunkturberoende program, andel (%)","Antal personer 16-64 år arbetslösa el. i konjunkturberoende program dividerat med antal invånare 16-64 år 31/12.","N00800"
"133","Egentlig verksamhet i kommunal regi, andel (%)","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting egentlig verksamhet exklusive köp av verksamhet (konto 463), tkr dividerat med Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting eg","N00801"
"134","Egentlig verksamhet i kommunal regi, andel (%)","Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting egentlig verksamhet exklusive köp av verksamhet (konto 463), tkr dividerat med Bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting eg","N00801"
"135","Köp egentlig verksamhet därav föreningar, andel (%)","Köp av verksamhet av föreningar egentlig verksamhet, dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för egentlig verksamhet. Avser enskild regi.","N00802"
"136","Köp egentlig verksamhet därav föreningar, andel (%)","Köp av verksamhet av föreningar egentlig verksamhet, dividerat med bruttokostnad minus interna intäkter och försäljning till andra kommuner och landsting för egentlig verksamhet. Avser enskild regi.","N00802"
"137","Skattesats, totalt","Skattesats totalt är summan av skatt till primärkommun och landsting. I dagligt tal används ofta begreppet kommunalskatt för summan av dessa två skatter.","N00900"
"138","Skattesats till kommun","Skattesats till kommun","N00901"
"139","Skattesats till landsting","Skattesats till landsting","N00902"
"140","Skattekraft kommun, kr/inv","Kommunalt skatteunderlag utgörs av beskattningsbar förvärvsinkomst för fysiska personer. Skattekraften beräknas som skatteunderlag i kronor per invånare vid taxeringsårets ingång. Vid beräkning av skattekraften för år t används skatteunderlaget enligt tax","N00903"
"141","Skattekraft kommun, kr/inv","Kommunalt skatteunderlag utgörs av beskattningsbar förvärvsinkomst för fysiska personer. Skattekraften beräknas som skatteunderlag i kronor per invånare vid taxeringsårets ingång. Vid beräkning av skattekraften för år t används skatteunderlaget enligt tax","N00903"
"142","Skattekraft som andel av rikets medelskattekraft kommun, (%)","Riksmedelvärdet brukar även benämnas medelskattekraften.","N00904"
"143","Mediannettoinkomst, kr/inv 20+","Mediannettoinkomst för kvinnor och män 20 år och äldre. Nettoinkomsten består av summan av alla skattepliktiga och skattefria inkomster minus skatt och övriga negativa transfereringar. Källa SCB.","N00905"
"144","Förvärvsarbetande invånare 16-19 år, andel (%)","Antal förvärvsarbetande i åldern 16-19 år dividerat med Antal invånare i åldern 16-19 år den 31/12. Källa: SCB.","N00908"
"145","Förvärvsarbetande invånare 20-24 år, andel (%)","Antal förvärvsarbetande i åldern 20-24 år dividerat med Antal invånare i åldern 20-24 år den 31/12. Källa: SCB.","N00909"
"146","Förvärvsarbetande invånare 25-34 år, andel (%)","Antal förvärvsarbetande i åldern 25-34 år dividerat med Antal invånare i åldern 25-34 år den 31/12. Källa: SCB.","N00910"
"147","Förvärvsarbetande invånare 35-49 år, andel (%)","Antal förvärvsarbetande i åldern 35-49 år dividerat med Antal invånare i åldern 35-49 år den 31/12. Källa: SCB.","N00911"
"148","Förvärvsarbetande invånare 50-59 år, andel (%)","Antal förvärvsarbetande i åldern 50-59 år dividerat med Antal invånare i åldern 50-59 år den 31/12. Källa: SCB.","N00912"
"149","Förvärvsarbetande invånare 60-64 år, andel (%)","Antal förvärvsarbetande i åldern 60-64 år dividerat med Antal invånare i åldern 60-64 år den 31/12. Källa: SCB.","N00913"
"150","Förvärvsarbetande invånare 20-64 år, andel (%)","Antal förvärvsarbetande i åldern 20-64 år dividerat med Antal invånare i åldern 20-64 år den 31/12. Källa: SCB.","N00914"
"151","Förvärvsarbetande i statlig sektor, andel (%)","Antal förvärvsarbetande i statlig förvaltning och affärsverk dividerat med Antal förvärvsarbetande totalt. Källa: SCB.","N00915"
"152","Förvärvsarbetande i privat sektor, andel (%)","Antal förvärvsarbetande i näringslivet dividerat med Antal förvärvsarbetande totalt. Källa: SCB.","N00916"
"153","Förvärvsarbetande i kommun-/landstingssektor, andel (%)","Antal förvärvsarbetande i kommun eller landsting dividerat med Antal förvärvsarbetande totalt. Källa: SCB.","N00917"
"154","Förvärvsarbetande i övriga sektorer, andel (%)","Antal förvärvsarbetande i övriga organisationer och offentliga institutioner dividerat med Antal förvärvsarbetande totalt. Källa: SCB.","N00918"
"155","Arbetslöshet, (%)","Antal öppet arbetslösa och personer i program med aktivitetsstöd i åldern 18-64 år dividerat med antal invånare 18-64 år. Avser statistik från mars månad år T. Källa: Arbetsförmedlingen och SCB.","N00919"
"156","Inrikes nettoinflyttning","Antal inflyttade minus Antal utflyttade","N01800"
"157","Inrikes nettoinflyttning","Antal inflyttade minus Antal utflyttade","N01800"
"158","Inflyttade, antal","Antal inflyttade under året.","N01801"
"159","Utflyttade, antal","Antal Utflyttade","N01802"
"160","Födelseöverskott","Antal födda minus Antal döda","N01803"
"161","Födelseöverskott","Antal födda minus Antal döda","N01803"
"162","Födda, antal","Antal födda under året.","N01804"
"163","Döda, antal","Antal döda under året.","N01805"
"164","Immigrationsnetto","Antal immigrerade minus Antal emigrerade","N01806"
"165","Immigrationsnetto","Antal immigrerade minus Antal emigrerade","N01806"
"166","Immigrerade, antal","Antal immigrerade under året.","N01807"
"167","Emigrerade, antal","Antal emigrerade under året.","N01808"
"168","Invånare 6-15 år, andel (%)","Antal invånare 6-15 31/12   dividerat med antal invånare totalt 31/12.","N01809"
"169","Invånare 6-15 år, andel (%)","Antal invånare 6-15 31/12   dividerat med antal invånare totalt 31/12.","N01809"
"170","Invånare 16-18 år, andel (%)","Antal invånare 16-18 31/12  dividerat med antal invånare totalt 31/12.","N01810"
"171","Invånare 0-64 år, andel (%)","Antal invånare 0-64 31/12  dividerat med antal invånare totalt 31/12.","N01811"
"172","Invånare 0-64 år, andel (%)","Antal invånare 0-64 31/12  dividerat med antal invånare totalt 31/12.","N01811"
