Kommun;Nyckeltal;År;Visat_Värde
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;863.6620606
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;913.7517267
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;927.7448382
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;906.8230395
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;908.2915941
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;979.3488692
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;1167.843835
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1283.08515
Alla kommuner (ovägt medel);Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;1334.595518
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2000;8407.376607
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2001;9185.154135
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2002;8385.761566
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2003;8856.181185
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2004;8837.778993
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2005;8991.085729
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2006;9307.502069
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2007;9604.197607
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2008;10197.32038
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2009;10248.00267
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2010;10415.33305
Alla kommuner (ovägt medel);Nettokostnad äldreomsorg, kr/inv;2011;10698.31643
Alla kommuner (ovägt medel);U. Invånare 18-64 år med låg inkomst, andel (%);2009;19.8760967
Alla kommuner (ovägt medel);U. Invånare 18-64 år med låg inkomst, andel (%);2010;19.90696864
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2007;2979
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2008;1854
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2009;5289.568627
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2010;4118.07
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2011;5623
Alla kommuner (ovägt medel);U. Kostnad försörjningsstöd, kr/utredning;2012;5964.52381
Ale;Arbetslöshet, (%);2000;6.488719
Ale;Arbetslöshet, (%);2001;4.8672
Ale;Arbetslöshet, (%);2002;5.077556
Ale;Arbetslöshet, (%);2003;4.187626
Ale;Arbetslöshet, (%);2004;4.456964
Ale;Arbetslöshet, (%);2005;4.76161
Ale;Arbetslöshet, (%);2006;5.069952
Ale;Arbetslöshet, (%);2007;3.604594
Ale;Arbetslöshet, (%);2008;3.412949
Ale;Arbetslöshet, (%);2009;5.482588
Ale;Arbetslöshet, (%);2010;6.82862
Ale;Arbetslöshet, (%);2011;5.251003
Ale;Arbetslöshet, (%);2012;4.953504
Ale;Invånare 0-64 år, andel (%);2000;87.168089
Ale;Invånare 0-64 år, andel (%);2001;87.03161
Ale;Invånare 0-64 år, andel (%);2002;86.905361
Ale;Invånare 0-64 år, andel (%);2003;86.650252
Ale;Invånare 0-64 år, andel (%);2004;86.434875
Ale;Invånare 0-64 år, andel (%);2005;86.127627
Ale;Invånare 0-64 år, andel (%);2006;86.022388
Ale;Invånare 0-64 år, andel (%);2007;85.564004
Ale;Invånare 0-64 år, andel (%);2008;84.87355
Ale;Invånare 0-64 år, andel (%);2009;84.215522
Ale;Invånare 0-64 år, andel (%);2010;83.474237
Ale;Invånare 0-64 år, andel (%);2011;82.92055
Ale;Kostnad ekonomiskt bistånd, kr/inv;2000;1234.299988
Ale;Kostnad ekonomiskt bistånd, kr/inv;2001;1000.863517
Ale;Kostnad ekonomiskt bistånd, kr/inv;2002;962.042191
Ale;Kostnad ekonomiskt bistånd, kr/inv;2003;864.769361
Ale;Kostnad ekonomiskt bistånd, kr/inv;2004;795.200852
Ale;Kostnad ekonomiskt bistånd, kr/inv;2005;644.234804
Ale;Kostnad ekonomiskt bistånd, kr/inv;2006;555.597015
Ale;Kostnad ekonomiskt bistånd, kr/inv;2007;659.087554
Ale;Kostnad ekonomiskt bistånd, kr/inv;2008;691.212532
Ale;Kostnad ekonomiskt bistånd, kr/inv;2009;923.486895
Ale;Kostnad ekonomiskt bistånd, kr/inv;2010;1027.804096
Ale;Kostnad ekonomiskt bistånd, kr/inv;2011;1260.833303
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;1415.999819
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;1150
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;1106.999822
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;997.999822
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;920
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;748.000176
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;645.874902
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;770.28601
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;814.40276
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;1096.575639
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1231.283014
Ale;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;1520.531771
Ale;Nettokostnad äldreomsorg, kr/inv;2000;5986.727902
Ale;Nettokostnad äldreomsorg, kr/inv;2001;6421
Ale;Nettokostnad äldreomsorg, kr/inv;2002;5275
Ale;Nettokostnad äldreomsorg, kr/inv;2003;5494
Ale;Nettokostnad äldreomsorg, kr/inv;2004;5585.36
Ale;Nettokostnad äldreomsorg, kr/inv;2005;5667.22
Ale;Nettokostnad äldreomsorg, kr/inv;2006;5653.62
Ale;Nettokostnad äldreomsorg, kr/inv;2007;6260.851912
Ale;Nettokostnad äldreomsorg, kr/inv;2008;6426.417304
Ale;Nettokostnad äldreomsorg, kr/inv;2009;6303.935168
Ale;Nettokostnad äldreomsorg, kr/inv;2010;6441.002842
Ale;Nettokostnad äldreomsorg, kr/inv;2011;7174.783334
Ale;U. Invånare 18-64 år med låg inkomst, andel (%);2009;16.73918298
Ale;U. Invånare 18-64 år med låg inkomst, andel (%);2010;16.4
Alingsås;Arbetslöshet, (%);2000;5.581077
Alingsås;Arbetslöshet, (%);2001;4.309634
Alingsås;Arbetslöshet, (%);2002;4.689762
Alingsås;Arbetslöshet, (%);2003;4.397815
Alingsås;Arbetslöshet, (%);2004;4.873774
Alingsås;Arbetslöshet, (%);2005;5.16894
Alingsås;Arbetslöshet, (%);2006;5.15827
Alingsås;Arbetslöshet, (%);2007;3.749485
Alingsås;Arbetslöshet, (%);2008;2.967373
Alingsås;Arbetslöshet, (%);2009;5.708635
Alingsås;Arbetslöshet, (%);2010;7.400754
Alingsås;Arbetslöshet, (%);2011;5.554312
Alingsås;Arbetslöshet, (%);2012;5.492297
Alingsås;Invånare 0-64 år, andel (%);2000;82.408329
Alingsås;Invånare 0-64 år, andel (%);2001;82.400658
Alingsås;Invånare 0-64 år, andel (%);2002;82.353441
Alingsås;Invånare 0-64 år, andel (%);2003;82.44582
Alingsås;Invånare 0-64 år, andel (%);2004;82.346691
Alingsås;Invånare 0-64 år, andel (%);2005;82.249375
Alingsås;Invånare 0-64 år, andel (%);2006;82.067378
Alingsås;Invånare 0-64 år, andel (%);2007;81.855794
Alingsås;Invånare 0-64 år, andel (%);2008;81.39716
Alingsås;Invånare 0-64 år, andel (%);2009;80.938291
Alingsås;Invånare 0-64 år, andel (%);2010;80.437083
Alingsås;Invånare 0-64 år, andel (%);2011;79.998949
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2000;824.083293
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2001;518.300196
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2002;536.120814
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2003;582.067549
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2004;643.951232
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2005;681.024715
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2006;630.876347
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2007;611.339449
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2008;673.128037
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2009;802.185792
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2010;922.637316
Alingsås;Kostnad ekonomiskt bistånd, kr/inv;2011;999.973721
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;1000
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;629.000069
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;650.999897
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;706.000068
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;782.000136
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;827.999865
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;768.72975
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;746.849333
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;826.967478
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;991.107891
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1147.029801
Alingsås;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;1249.983575
Alingsås;Nettokostnad äldreomsorg, kr/inv;2002;8529
Alingsås;Nettokostnad äldreomsorg, kr/inv;2003;8767
Alingsås;Nettokostnad äldreomsorg, kr/inv;2004;8649.79
Alingsås;Nettokostnad äldreomsorg, kr/inv;2005;9028.27
Alingsås;Nettokostnad äldreomsorg, kr/inv;2006;9226.31
Alingsås;Nettokostnad äldreomsorg, kr/inv;2007;9710.49838
Alingsås;Nettokostnad äldreomsorg, kr/inv;2008;10334.09402
Alingsås;Nettokostnad äldreomsorg, kr/inv;2009;9932.853525
Alingsås;Nettokostnad äldreomsorg, kr/inv;2010;10260.98
Alingsås;Nettokostnad äldreomsorg, kr/inv;2011;10145.4813
Alingsås;U. Invånare 18-64 år med låg inkomst, andel (%);2009;16.77294773
Alingsås;U. Invånare 18-64 år med låg inkomst, andel (%);2010;16.7
Alvesta;Arbetslöshet, (%);2000;4.245717
Alvesta;Arbetslöshet, (%);2001;4.113253
Alvesta;Arbetslöshet, (%);2002;4.013134
Alvesta;Arbetslöshet, (%);2003;3.235803
Alvesta;Arbetslöshet, (%);2004;3.849289
Alvesta;Arbetslöshet, (%);2005;4.237211
Alvesta;Arbetslöshet, (%);2006;4.0135
Alvesta;Arbetslöshet, (%);2007;2.880771
Alvesta;Arbetslöshet, (%);2008;2.383747
Alvesta;Arbetslöshet, (%);2009;4.736081
Alvesta;Arbetslöshet, (%);2010;7.918182
Alvesta;Arbetslöshet, (%);2011;7.04774
Alvesta;Arbetslöshet, (%);2012;7.750045
Alvesta;Invånare 0-64 år, andel (%);2000;80.6513
Alvesta;Invånare 0-64 år, andel (%);2001;80.962178
Alvesta;Invånare 0-64 år, andel (%);2002;80.845219
Alvesta;Invånare 0-64 år, andel (%);2003;80.798771
Alvesta;Invånare 0-64 år, andel (%);2004;80.752717
Alvesta;Invånare 0-64 år, andel (%);2005;80.619782
Alvesta;Invånare 0-64 år, andel (%);2006;80.598687
Alvesta;Invånare 0-64 år, andel (%);2007;80.650831
Alvesta;Invånare 0-64 år, andel (%);2008;80.202397
Alvesta;Invånare 0-64 år, andel (%);2009;79.692915
Alvesta;Invånare 0-64 år, andel (%);2010;79.512818
Alvesta;Invånare 0-64 år, andel (%);2011;79.103452
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2000;635.532354
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2001;748.090415
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2002;760.753302
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2003;665.782086
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2004;616.950967
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2005;757.01991
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2006;802.465183
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2007;908.659991
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2008;1013.475366
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2009;1299.568161
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2010;1376.927986
Alvesta;Kostnad ekonomiskt bistånd, kr/inv;2011;1538.668922
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;788.000131
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;923.99987
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;940.999739
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;824.000262
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;764.000263
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;939.000199
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;995.630586
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;1126.659182
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;1263.647231
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;1630.719829
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1731.705686
Alvesta;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;1945.134991
Alvesta;Nettokostnad äldreomsorg, kr/inv;2000;9729.49355
Alvesta;Nettokostnad äldreomsorg, kr/inv;2001;9651
Alvesta;Nettokostnad äldreomsorg, kr/inv;2002;8681
Alvesta;Nettokostnad äldreomsorg, kr/inv;2003;9114
Alvesta;Nettokostnad äldreomsorg, kr/inv;2004;9384.73
Alvesta;Nettokostnad äldreomsorg, kr/inv;2005;9108.65
Alvesta;Nettokostnad äldreomsorg, kr/inv;2006;8600.88
Alvesta;Nettokostnad äldreomsorg, kr/inv;2007;9011.557307
Alvesta;Nettokostnad äldreomsorg, kr/inv;2008;9234.727031
Alvesta;Nettokostnad äldreomsorg, kr/inv;2009;10112.7579
Alvesta;Nettokostnad äldreomsorg, kr/inv;2010;9871.183917
Alvesta;Nettokostnad äldreomsorg, kr/inv;2011;10324.78723
Alvesta;U. Invånare 18-64 år med låg inkomst, andel (%);2009;19.67272727
Alvesta;U. Invånare 18-64 år med låg inkomst, andel (%);2010;20.3
Aneby;Arbetslöshet, (%);2000;3.952991
Aneby;Arbetslöshet, (%);2001;3.647663
Aneby;Arbetslöshet, (%);2002;2.511355
Aneby;Arbetslöshet, (%);2003;2.441642
Aneby;Arbetslöshet, (%);2004;3.715415
Aneby;Arbetslöshet, (%);2005;3.929788
Aneby;Arbetslöshet, (%);2006;4.774328
Aneby;Arbetslöshet, (%);2007;3.283815
Aneby;Arbetslöshet, (%);2008;2.462667
Aneby;Arbetslöshet, (%);2009;4.860393
Aneby;Arbetslöshet, (%);2010;7.393908
Aneby;Arbetslöshet, (%);2011;5.64663
Aneby;Arbetslöshet, (%);2012;6.002587
Aneby;Invånare 0-64 år, andel (%);2000;81.6522
Aneby;Invånare 0-64 år, andel (%);2001;81.513611
Aneby;Invånare 0-64 år, andel (%);2002;81.601568
Aneby;Invånare 0-64 år, andel (%);2003;81.578158
Aneby;Invånare 0-64 år, andel (%);2004;81.551932
Aneby;Invånare 0-64 år, andel (%);2005;81.25
Aneby;Invånare 0-64 år, andel (%);2006;81.331094
Aneby;Invånare 0-64 år, andel (%);2007;80.802336
Aneby;Invånare 0-64 år, andel (%);2008;80.714395
Aneby;Invånare 0-64 år, andel (%);2009;80.08067
Aneby;Invånare 0-64 år, andel (%);2010;79.633975
Aneby;Invånare 0-64 år, andel (%);2011;79.5947
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2000;1295.003891
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2001;1019.735268
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2002;947.394209
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2003;984.648365
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2004;1007.166365
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2005;988
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2006;769.958785
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2007;688.441439
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2008;785.221524
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2009;1119.453925
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2010;972.469889
Aneby;Kostnad ekonomiskt bistånd, kr/inv;2011;864.380359
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;1586
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;1251
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;1161
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;1207
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;1235
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;1216
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;946.696697
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;852.006848
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;972.839506
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;1397.907788
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1221.174622
Aneby;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;1085.977282
Aneby;Nettokostnad äldreomsorg, kr/inv;2000;8255.776115
Aneby;Nettokostnad äldreomsorg, kr/inv;2001;8177
Aneby;Nettokostnad äldreomsorg, kr/inv;2003;8475
Aneby;Nettokostnad äldreomsorg, kr/inv;2004;8387.91
Aneby;Nettokostnad äldreomsorg, kr/inv;2005;8118.77
Aneby;Nettokostnad äldreomsorg, kr/inv;2006;8952.68
Aneby;Nettokostnad äldreomsorg, kr/inv;2007;9094.220719
Aneby;Nettokostnad äldreomsorg, kr/inv;2008;9262.302621
Aneby;Nettokostnad äldreomsorg, kr/inv;2009;9266.056469
Aneby;Nettokostnad äldreomsorg, kr/inv;2010;9508.837791
Aneby;Nettokostnad äldreomsorg, kr/inv;2011;9769.758379
Aneby;U. Invånare 18-64 år med låg inkomst, andel (%);2009;18.84925801
Aneby;U. Invånare 18-64 år med låg inkomst, andel (%);2010;18.2
Arboga;Arbetslöshet, (%);2000;9.042489
Arboga;Arbetslöshet, (%);2001;6.981621
Arboga;Arbetslöshet, (%);2002;7.743726
Arboga;Arbetslöshet, (%);2003;6.797717
Arboga;Arbetslöshet, (%);2004;7.162007
Arboga;Arbetslöshet, (%);2005;6.708812
Arboga;Arbetslöshet, (%);2006;6.638364
Arboga;Arbetslöshet, (%);2007;4.599483
Arboga;Arbetslöshet, (%);2008;4.562492
Arboga;Arbetslöshet, (%);2009;6.537056
Arboga;Arbetslöshet, (%);2010;10.130246
Arboga;Arbetslöshet, (%);2011;8.514301
Arboga;Arbetslöshet, (%);2012;7.52803
Arboga;Invånare 0-64 år, andel (%);2000;80.3677
Arboga;Invånare 0-64 år, andel (%);2001;80.016157
Arboga;Invånare 0-64 år, andel (%);2002;79.843819
Arboga;Invånare 0-64 år, andel (%);2003;79.517537
Arboga;Invånare 0-64 år, andel (%);2004;79.121289
Arboga;Invånare 0-64 år, andel (%);2005;79.147982
Arboga;Invånare 0-64 år, andel (%);2006;78.687178
Arboga;Invånare 0-64 år, andel (%);2007;78.218266
Arboga;Invånare 0-64 år, andel (%);2008;77.67837
Arboga;Invånare 0-64 år, andel (%);2009;77.033529
Arboga;Invånare 0-64 år, andel (%);2010;76.273993
Arboga;Invånare 0-64 år, andel (%);2011;75.545031
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2000;1149.258111
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2001;828.967391
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2002;816.004126
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2003;694.983277
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2004;856.883485
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2005;999.639013
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2006;964.528415
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2007;1063.355524
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2008;1039.24517
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2009;1311.682454
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2010;1505.532556
Arboga;Kostnad ekonomiskt bistånd, kr/inv;2011;1591.640355
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2000;1430
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2001;1036
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2002;1022.000369
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2003;874
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2004;1082.999906
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2005;1263
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2006;1225.775838
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2007;1359.472124
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2008;1337.882307
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2009;1702.742266
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2010;1973.847824
Arboga;Kostnad ekonomiskt bistånd, kr/inv 0-64 år;2011;2106.876306
Arboga;Nettokostnad äldreomsorg, kr/inv;2000;8398.10894
Arboga;Nettokostnad äldreomsorg, kr/inv;2001;9476
Arboga;Nettokostnad äldreomsorg, kr/inv;2002;8135
Arboga;Nettokostnad äldreomsorg, kr/inv;2003;8881
Arboga;Nettokostnad äldreomsorg, kr/inv;2004;8369.88
Arboga;Nettokostnad äldreomsorg, kr/inv;2005;8341.93
Arboga;Nettokostnad äldreomsorg, kr/inv;2006;8891.05
Arboga;Nettokostnad äldreomsorg, kr/inv;2007;9227.167327
Arboga;Nettokostnad äldreomsorg, kr/inv;2008;9879.63311
Arboga;Nettokostnad äldreomsorg, kr/inv;2009;9749.511352
Arboga;Nettokostnad äldreomsorg, kr/inv;2010;9644.787354
Arboga;Nettokostnad äldreomsorg, kr/inv;2011;9898.812209
Arboga;U. Invånare 18-64 år med låg inkomst, andel (%);2009;20.61570846
Arboga;U. Invånare 18-64 år med låg inkomst, andel (%);2010;21.3
Arboga;U. Kostnad försörjningsstöd, kr/utredning;2009;1082
Arjeplog;Arbetslöshet, (%);2000;6.659729
Arjeplog;Arbetslöshet, (%);2001;5.224274
Arjeplog;Arbetslöshet, (%);2002;9.233261
Arjeplog;Arbetslöshet, (%);2003;7.297297
Arjeplog;Arbetslöshet, (%);2004;6.290672
Arjeplog;Arbetslöshet, (%);2005;7.939097
Arjeplog;Arbetslöshet, (%);2006;6.156406
Arjeplog;Arbetslöshet, (%);2007;4.607789
Arjeplog;Arbetslöshet, (%);2008;4.751258
Arjeplog;Arbetslöshet, (%);2009;6.126915
Arjeplog;Arbetslöshet, (%);2010;9.649123
Arjeplog;Arbetslöshet, (%);2011;8.062771
Arjeplog;Arbetslöshet, (%);2012;5.052748
Arjeplog;Invånare 0-64 år, andel (%);2000;75.975177
Arjeplog;Invånare 0-64 år, andel (%);2001;75.641413
